ts,asset,tf,direction,k_last,d_last,bull_stoch,bear_stoch,ema7_last,ema2_last,ema_align_up,ema_align_down,ema_cross_up_win,ema_cross_dn_win,trend_up,trend_down,adx14,atr14,rsi14,htf_up,htf_down,ticks_ok,near_res,near_sup,buy_score,sell_score,has_signal,result
2025-08-10T20:32:53,BTCUSD_otc,60,none,41.10266381921464,36.707133373990224,0,0,116184.13684870568,116185.78307633004,0,1,0,1,0,1,30.001267475174433,31.593510744564032,38.8199271641545,1,0,1,0,0,6,6,0,
2025-08-10T20:32:55,CADCHF_otc,60,none,75.56185174139357,88.81747647057621,0,0,0.6022347410501785,0.6021134949231278,0,0,1,0,0,1,19.405560483128745,0.0007610924775977038,44.59293911023621,1,0,1,0,0,5,7,0,
2025-08-10T20:32:56,CADJPY_otc,60,call,58.85512440912154,61.701037175556685,0,0,107.17831480171708,107.16667990955479,0,0,1,0,1,0,23.083067087907015,0.05336470388128119,53.122504165679025,1,0,1,0,0,6,6,1,
2025-08-10T20:33:27,ARBUSD_otc,60,none,82.79370299132142,79.37552710618515,0,0,0.40400444204316693,0.40404152743309457,0,0,0,1,1,0,13.496325023975787,0.00043717831867601584,52.377136208206714,1,0,1,0,0,6,4,0,
2025-08-10T20:33:28,ATOUSD_otc,60,none,50.19273004347624,69.89543817902022,0,0,6.044009086982005,6.023225932724336,1,0,0,0,0,1,28.198001301989088,0.02381779897072062,33.75737442404808,1,0,1,0,0,5,7,0,
2025-08-10T20:33:29,AUDUSD_otc,60,none,50.383306047143435,46.715695191570354,0,0,0.6666021446378545,0.6666467306187975,0,1,0,0,1,0,20.29363406607329,0.00032410738542885514,55.73444827331085,1,0,1,0,0,7,4,0,
2025-08-10T20:33:30,AXP_otc,60,none,75.92021604609883,80.37240342511569,0,0,115.33463480337863,115.32382461554613,1,0,0,0,1,0,20.8375834013945,0.03931693380786309,51.99686226633047,1,0,1,0,0,5,5,0,
2025-08-10T20:33:32,BCHUSD_otc,60,none,18.515521301649056,16.067844283869388,0,0,572.3506658626292,572.3109512942491,1,0,0,0,0,1,26.48337030050389,0.6790910159457254,39.98615688327958,0,1,1,0,0,4,6,0,
2025-08-10T20:33:33,BEAUSD_otc,60,call,36.617867867867716,28.255338672005266,0,0,0.008330313577865199,0.008330154938954299,1,0,0,0,1,0,17.52681492223801,4.0388864440052675e-05,52.45119196662632,1,0,1,0,0,8,1,1,
2025-08-10T20:34:33,ARBUSD_otc,60,none,76.89808016533418,63.86078932579224,0,0,0.40413083153237517,0.4043538424776982,0,1,0,1,1,0,13.827197538931015,0.0004502369797298401,57.24557932799255,1,0,1,0,0,6,4,0,
2025-08-10T20:34:34,ATOUSD_otc,60,none,58.64371834521081,77.82468939185354,0,0,6.038756815236503,6.023075310908112,1,0,0,0,0,1,28.98895477339613,0.02340224024053081,35.584077218121095,1,0,1,0,0,5,5,0,
2025-08-10T20:34:36,AUDUSD_otc,60,none,61.34329362676059,53.867091399902506,0,0,0.6666866084783909,0.6668422435395992,0,1,0,0,1,0,20.493028844968798,0.0003295282889731391,61.02634691480528,1,0,1,1,0,7,4,0,
2025-08-10T20:34:37,AXP_otc,60,none,66.20194111483526,72.82215017406772,0,0,115.32797610253398,115.31327487184872,1,0,0,0,1,0,19.379327147589585,0.03808000792501439,49.29655376840027,1,0,1,0,0,4,7,0,
2025-08-10T20:34:38,BCHUSD_otc,60,none,12.296703646779639,13.843016657939039,0,0,572.2404993969719,572.0436504314164,1,0,0,0,0,1,26.222300503915683,0.6777273557685073,36.208000164417115,0,1,1,0,0,4,6,0,
2025-08-10T20:34:39,BEAUSD_otc,60,call,52.0833333333336,38.61531986532011,0,0,0.0083452351833989,0.0083700516463181,1,0,0,1,1,0,17.814895179990195,4.150394539271956e-05,58.30473553410354,1,0,1,0,0,8,4,1,
2025-08-10T20:36:02,ARBUSD_otc,60,none,52.33806493718415,40.05982487627174,0,0,0.404308592736961,0.40451042694196643,0,1,0,0,1,0,15.824194742294477,0.00044132679471232304,57.13615412984279,1,0,1,0,0,5,3,0,
2025-08-10T20:36:03,ATOUSD_otc,60,none,63.22226287015044,79.5781761274721,0,0,6.028300708570534,6.0132305901009016,1,0,0,0,0,1,30.28469485041385,0.022596830047873474,32.64337130231054,1,0,1,0,0,4,7,0,
2025-08-10T20:36:05,AUDUSD_otc,60,call,47.774384772418635,48.74067157203967,0,0,0.6666812172690948,0.6666469159488443,0,1,1,0,1,0,19.491478433554864,0.0003337259396360614,51.58420382197909,1,0,1,0,0,6,7,1,
2025-08-10T21:21:04,ADAUSD_otc,60,none,23.859020310633085,18.570290720829203,1,0,0.8083710009206995,0.8083983873840966,1,0,0,1,0,1,45.56303245927578,0.0003542894384543284,42.50918810127188,0,1,1,0,0,9,5,0,
2025-08-10T21:21:06,AUDUSD_otc,60,call,56.733047782526434,61.22392085241298,0,0,0.666680212793281,0.6665408363443138,1,0,0,0,1,0,10.571642326604321,0.00032585123809962004,49.570257481768415,1,0,1,0,0,7,4,1,
