ts_local,mode,asset,direction,note,schedule_ts,schedule_str,payout,tf_s
2025-08-17T15:52:18,live,USDCHF_otc,put,parallel_scan score=0.79 mode=trend_follow,,,89.0,60
2025-08-17T16:00:44,live,AUDNZD_otc,put,parallel_scan score=0.77 mode=momentum,,,88.0,60
2025-08-17T16:06:02,live,TRXUSD_otc,call,parallel_scan score=0.79 mode=ema_cross,,,93.0,60
2025-08-17T16:14:42,live,TONUSD_otc,put,parallel_scan score=0.83 mode=ema_cross,,,93.0,60
2025-08-17T16:38:16,live,GALUSD_otc,put,parallel_scan score=0.81 mode=ema_cross,,,93.0,60
2025-08-17T16:42:27,live,BRLUSD_otc,call,parallel_scan score=0.83 mode=ema_cross,,,91.0,60
2025-08-17T16:47:58,live,APTUSD_otc,call,parallel_scan score=0.83 mode=ema_cross,,,93.0,60
2025-08-17T16:54:25,live,EURNZD_otc,put,parallel_scan score=0.83 mode=ema_cross,,,90.0,60
2025-08-17T16:58:50,live,AUDUSD_otc,put,parallel_scan score=0.83 mode=trend_follow,,,89.0,60
2025-08-17T17:03:26,live,XRPUSD_otc,call,parallel_scan score=0.81 mode=trend_follow,,,93.0,60
2025-08-17T17:25:04,live,GBPCAD_otc,put,parallel_scan score=0.83 mode=trend_follow,,,89.0,60
2025-08-17T17:33:07,live,PFE_otc,call,parallel_scan score=0.74 mode=momentum,,,87.0,60
2025-08-17T17:38:09,live,WIFUSD_otc,call,parallel_scan score=0.83 mode=ema_cross,,,93.0,60
2025-08-17T17:45:19,live,USDCHF_otc,put,parallel_scan score=0.76 mode=momentum,,,89.0,60
2025-08-17T17:53:59,live,USDJPY_otc,call,parallel_scan score=0.79 mode=momentum,,,88.0,60
2025-08-17T17:58:56,live,HMSUSD_otc,put,parallel_scan score=0.77 mode=momentum,,,93.0,60
2025-08-17T18:02:53,live,BA_otc,put,parallel_scan score=0.83 mode=ema_cross,,,87.0,60
2025-08-17T18:04:03,live,MELUSD_otc,call,parallel_scan score=0.83 mode=ema_cross,,,93.0,60
2025-08-17T18:08:06,live,UKBrent_otc,put,parallel_scan score=0.78 mode=ema_cross,,,90.0,60
2025-08-17T18:20:43,live,FB_otc,call,parallel_scan score=0.78 mode=ema_cross,,,86.0,60
2025-08-17T18:21:21,live,DASUSD_otc,call,parallel_scan score=0.83 mode=ema_cross,,,93.0,60
2025-08-17T18:24:23,live,ZECUSD_otc,put,parallel_scan score=0.79 mode=momentum,,,93.0,60
2025-08-17T18:25:46,live,LINUSD_otc,put,parallel_scan score=0.83 mode=trend_follow,,,93.0,60
2025-08-17T18:26:12,live,AUDNZD_otc,put,parallel_scan score=0.83 mode=ema_cross,,,88.0,60
2025-08-17T18:29:08,live,BEAUSD_otc,put,parallel_scan score=0.73 mode=ema_cross,,,93.0,60
2025-08-17T18:30:40,live,MANUSD_otc,call,parallel_scan score=0.81 mode=ema_cross,,,93.0,60
2025-08-17T18:35:19,live,AVAUSD_otc,put,parallel_scan score=0.70 mode=ema_cross,,,93.0,60
2025-08-17T18:39:42,live,ZECUSD_otc,call,parallel_scan score=0.78 mode=ema_cross,,,93.0,60
2025-08-17T18:42:05,live,UKBrent_otc,put,parallel_scan score=0.76 mode=ema_cross,,,80.0,60
2025-08-17T18:43:41,live,AXSUSD_otc,call,parallel_scan score=0.78 mode=ema_cross,,,89.0,60
2025-08-17T18:43:48,live,AXSUSD_otc,call,parallel_scan score=0.79 mode=ema_cross,,,89.0,60
2025-08-17T18:51:33,live,TONUSD_otc,put,parallel_scan score=0.82 mode=trend_follow,,,93.0,60
2025-08-17T18:54:00,live,DASUSD_otc,call,parallel_scan score=0.77 mode=momentum,,,93.0,60
2025-08-17T18:57:48,live,GBPNZD_otc,call,parallel_scan score=0.78 mode=ema_cross,,,82.0,60
2025-08-17T19:03:13,live,ARBUSD_otc,call,parallel_scan score=0.79 mode=ema_cross,,,93.0,60
2025-08-17T19:08:18,live,AUDCHF_otc,call,parallel_scan score=0.78 mode=momentum,,,90.0,60
2025-08-17T19:14:03,live,XRPUSD_otc,call,parallel_scan score=0.83 mode=ema_cross,,,93.0,60
2025-08-17T19:19:21,live,DOGUSD_otc,call,parallel_scan score=0.81 mode=ema_cross,,,79.0,60
2025-08-17T19:19:37,live,DOGUSD_otc,call,parallel_scan score=0.81 mode=ema_cross,,,79.0,60
2025-08-17T19:24:43,live,USDCAD_otc,call,parallel_scan score=0.79 mode=momentum,,,80.0,60
2025-08-17T19:25:13,live,ADAUSD_otc,call,parallel_scan score=0.74 mode=momentum,,,93.0,60
2025-08-17T19:30:06,live,DASUSD_otc,call,parallel_scan score=0.76 mode=ema_cross,,,93.0,60
2025-08-17T19:31:05,live,BCHUSD_otc,call,parallel_scan score=0.77 mode=momentum,,,93.0,60
2025-08-17T19:31:35,live,USDJPY_otc,put,parallel_scan score=0.78 mode=trend_follow,,,92.0,60
2025-08-17T19:36:19,live,USDARS_otc,call,parallel_scan score=0.74 mode=momentum,,,91.0,60
2025-08-17T19:40:46,live,EURUSD_otc,call,parallel_scan score=0.79 mode=trend_follow,,,93.0,60
2025-08-17T19:45:09,live,NZDUSD_otc,call,parallel_scan score=0.78 mode=momentum,,,88.0,60
2025-08-17T19:50:14,live,NOTUSD_otc,put,parallel_scan score=0.74 mode=ema_cross,,,93.0,60
2025-08-17T19:50:48,live,GBPJPY_otc,put,parallel_scan score=0.81 mode=momentum,,,87.0,60
2025-08-17T19:55:36,live,AUDUSD_otc,put,parallel_scan score=0.82 mode=trend_follow,,,93.0,60
2025-08-17T20:05:14,live,PEPUSD_otc,call,parallel_scan score=0.83 mode=ema_cross,,,93.0,60
2025-08-17T20:10:43,live,USDBDT_otc,call,parallel_scan score=0.72 mode=momentum,,,91.0,60
2025-08-17T20:15:59,live,MANUSD_otc,call,parallel_scan score=0.77 mode=momentum,,,93.0,60
2025-08-17T20:20:43,live,BCHUSD_otc,put,parallel_scan score=0.83 mode=ema_cross,,,82.0,60
2025-08-17T20:24:44,live,EURCAD_otc,call,parallel_scan score=0.74 mode=momentum,,,82.0,60
2025-08-17T20:29:24,live,TRXUSD_otc,call,parallel_scan score=0.78 mode=ema_cross,,,93.0,60
